"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD"
"122","BTC","207326_at",8.42e-24,2.68e-25,-12.3,46.7246696,-3.13,"betacellulin","241412_at",0.135,0.00023853,-4.33,-0.76822,-2.61,"betacellulin"
"123","BTNL9","228434_at",6.43e-17,4.43e-18,-9.75,30.2204887,-1.23,"butyrophilin like 9","230992_at",0.232,0.00296269,-3.32,-3.24625,-1.12,"butyrophilin like 9"
"124","BUB1","209642_at",1.24e-32,1.39e-34,15.6,67.9944837,2.66,"BUB1 mitotic checkpoint serine/threonine kinase","209642_at",0.212,0.00206235,3.47,-2.89433,1.52,"BUB1 mitotic checkpoint serine/threonine kinase"
"125","BUB1B","203755_at",4.15e-30,6.29e-32,14.7,61.9107831,2.49,"BUB1 mitotic checkpoint serine/threonine kinase B","203755_at",0.288,0.00892592,2.85,-4.30451,0.751,"BUB1 mitotic checkpoint serine/threonine kinase B"
"126","C10orf99","227735_s_at",7.18e-35,6.4e-37,16.5,73.348925,5.25,"chromosome 10 open reading frame 99","227735_s_at",0.432,0.03070913,2.3,-5.45663,2.24,"chromosome 10 open reading frame 99"
"127","C12orf56","236840_at",9.42e-52,1e-54,23.4,114.1066198,4,"chromosome 12 open reading frame 56","236840_at",0.368,0.01895347,2.52,-5.01204,0.87,"chromosome 12 open reading frame 56"
"128","C12orf75","225105_at",1.46e-22,5.29e-24,11.9,43.7600168,2.04,"chromosome 12 open reading frame 75","225105_at",0.415,0.02737449,2.35,-5.35147,0.715,"chromosome 12 open reading frame 75"
"129","C17orf96","228066_at",1.76e-38,1.06e-40,17.8,82.0105667,3.59,"chromosome 17 open reading frame 96","228066_at",0.495,0.04656811,2.1,-5.83305,0.65,"chromosome 17 open reading frame 96"
"130","C19orf66","1555491_a_at",7.02e-34,6.9e-36,16.1,70.9841333,2.12,"chromosome 19 open reading frame 66","218429_s_at",0.271,0.00718098,2.95,-4.0976,0.599,"chromosome 19 open reading frame 66"
"131","C1orf115","218546_at",4.51e-23,1.54e-24,-12.1,44.9850626,-1.43,"chromosome 1 open reading frame 115","218546_at",0.204,0.00160806,-3.57,-2.65158,-1.16,"chromosome 1 open reading frame 115"
"132","C1orf43","1555225_at",1.14e-13,1.12e-14,8.48,22.4609789,1.35,"chromosome 1 open reading frame 43","1555225_at",0.211,0.00203837,3.47,-2.88293,0.898,"chromosome 1 open reading frame 43"
"133","C1QC","225353_s_at",0.00315,0.00111,3.32,-2.1886397,0.757,"complement C1q C chain","225353_s_at",0.503,0.04893938,2.08,-5.87743,0.823,"complement C1q C chain"
"134","C1QTNF7","223877_at",8.87e-11,1.21e-11,-7.28,15.5663194,-1.1,"C1q and tumor necrosis factor related protein 7","239349_at",0.377,0.02057095,-2.48,-5.08803,-1.43,"C1q and tumor necrosis factor related protein 7"
"135","C21orf2","203996_s_at",8.1e-11,1.1e-11,-7.3,15.6610136,-1.23,"chromosome 21 open reading frame 2","203996_s_at",0.394,0.02330696,-2.43,-5.2035,-0.824,"chromosome 21 open reading frame 2"
"136","C21orf91","220941_s_at",4.58e-33,4.95e-35,15.8,69.0232021,2.32,"chromosome 21 open reading frame 91","220941_s_at",0.263,0.00620832,3.01,-3.95861,1.3,"chromosome 21 open reading frame 91"
"137","C2CD2","212875_s_at",3.04e-10,4.42e-11,-7.05,14.2942873,-0.589,"C2 calcium dependent domain containing 2","212875_s_at",0.255,0.00519123,-3.08,-3.78719,-0.661,"C2 calcium dependent domain containing 2"
"138","C2orf40","223623_at",1.96e-18,1.14e-19,-10.3,33.8544354,-1.88,"chromosome 2 open reading frame 40","223623_at",0.473,0.04087647,-2.16,-5.716,-1.36,"chromosome 2 open reading frame 40"
"139","C2orf88","228195_at",9.16e-14,8.93e-15,-8.51,22.6854483,-0.938,"chromosome 2 open reading frame 88","228195_at",0.5,0.04796139,-2.09,-5.8594,-0.939,"chromosome 2 open reading frame 88"
"140","C7","202992_at",9.24e-18,5.75e-19,-10.1,32.244271,-2.22,"complement component 7","202992_at",0.507,0.04986361,-2.07,-5.89411,-1.11,"complement component 7"
"141","C9orf152","229964_at",5.45e-19,2.98e-20,-10.5,35.1802564,-2.1,"chromosome 9 open reading frame 152","229964_at",0.423,0.02900524,-2.33,-5.40447,-1.47,"chromosome 9 open reading frame 152"
"142","C9orf16","204480_s_at",8.66e-13,9.37e-14,8.12,20.3620652,1.21,"chromosome 9 open reading frame 16","204480_s_at",0.298,0.01023968,-2.79,-4.43458,-0.649,"chromosome 9 open reading frame 16"
"143","C9orf84","233504_at",7.66e-48,1.42e-50,21.7,104.6152549,5.33,"chromosome 9 open reading frame 84","233504_at",0.427,0.02968132,2.32,-5.42554,1.13,"chromosome 9 open reading frame 84"
"144","CA3","204865_at",2.84e-20,1.35e-21,-11,38.2556405,-1.54,"carbonic anhydrase 3","204865_at",0.257,0.00539113,-3.07,-3.82344,-0.908,"carbonic anhydrase 3"
"145","CACNA2D1","227623_at",9.58e-24,3.07e-25,-12.3,46.5901475,-1.41,"calcium voltage-gated channel auxiliary subunit alpha2delta 1","227623_at",0.283,0.00837884,-2.88,-4.24445,-0.64,"calcium voltage-gated channel auxiliary subunit alpha2delta 1"
"146","CALB2","205428_s_at",2.07e-05,5.29e-06,-4.7,2.8876951,-0.881,"calbindin 2","205428_s_at",0.371,0.01953681,-2.51,-5.04019,-1.31,"calbindin 2"
"147","CAMK2N1","218309_at",1.4e-40,6.38e-43,-18.7,87.0976372,-1.34,"calcium/calmodulin dependent protein kinase II inhibitor 1","218309_at",0.433,0.03096836,-2.3,-5.4643,-0.822,"calcium/calmodulin dependent protein kinase II inhibitor 1"
"148","CARD14","220599_s_at",8.23e-43,2.89e-45,19.6,92.4640701,2.61,"caspase recruitment domain family member 14","220599_s_at",0.255,0.00489115,3.11,-3.73002,0.6,"caspase recruitment domain family member 14"
"149","CARHSP1","218384_at",3.15e-40,1.51e-42,18.5,86.2407973,2.97,"calcium regulated heat stable protein 1","218384_at",0.213,0.00227154,3.43,-2.98836,0.925,"calcium regulated heat stable protein 1"
"150","CASP10","205467_at",1.19e-16,8.48e-18,9.64,29.5763473,0.846,"caspase 10","205467_at",0.201,0.00142652,3.62,-2.53444,0.667,"caspase 10"
"151","CAT","201432_at",1.34e-23,4.36e-25,-12.3,46.2421806,-0.814,"catalase","211922_s_at",0.32,0.01253229,-2.7,-4.62517,-0.709,"catalase"
"152","CBLC","220638_s_at",3.68e-19,1.97e-20,10.6,35.5949624,1.62,"Cbl proto-oncogene C","220638_s_at",0.494,0.04626526,2.1,-5.82721,0.782,"Cbl proto-oncogene C"
"153","CCDC85A","235228_at",1.3e-12,1.43e-13,-8.05,19.9421449,-0.97,"coiled-coil domain containing 85A","235228_at",0.257,0.00535978,-3.07,-3.81785,-0.778,"coiled-coil domain containing 85A"
"154","CCL15-CCL14","205392_s_at",2.37e-19,1.24e-20,-10.7,36.0504767,-1.11,"CCL15-CCL14 readthrough (NMD candidate)///C-C motif chemokine ligand 14","205392_s_at",0.357,0.01731614,-2.56,-4.92796,-1.06,"CCL15-CCL14 readthrough (NMD candidate)///C-C motif chemokine ligand 14"
"155","CCL18","32128_at",2.41e-07,4.89e-08,5.71,7.429098,2.36,"C-C motif chemokine ligand 18","32128_at",0.218,0.00244592,3.4,-3.06027,2.86,"C-C motif chemokine ligand 18"
"156","CCL19","210072_at",0.00204,0.000696,3.46,-1.7533869,0.69,"C-C motif chemokine ligand 19","210072_at",0.338,0.0148703,2.63,-4.78571,1.21,"C-C motif chemokine ligand 19"
"157","CCL2","216598_s_at",1.81e-19,9.38e-21,10.7,36.3288424,1.31,"C-C motif chemokine ligand 2","216598_s_at",0.347,0.01591667,2.6,-4.84932,1.6,"C-C motif chemokine ligand 2"
"158","CCL22","207861_at",3.24e-19,1.72e-20,10.6,35.7276485,2.06,"C-C motif chemokine ligand 22","207861_at",0.438,0.03194721,2.28,-5.49268,1.32,"C-C motif chemokine ligand 22"
"159","CCL28","238750_at",8.48e-14,8.24e-15,-8.53,22.7652535,-1.05,"C-C motif chemokine ligand 28","238750_at",0.422,0.02858587,-2.33,-5.39114,-0.849,"C-C motif chemokine ligand 28"
"160","CCL5","204655_at",1.03e-08,1.79e-09,6.36,10.6621789,1.27,"C-C motif chemokine ligand 5","204655_at",0.347,0.01598283,2.6,-4.85319,1.1,"C-C motif chemokine ligand 5"
"161","CCNA2","203418_at",2.82e-47,5.82e-50,21.4,103.2117697,3.86,"cyclin A2","203418_at",0.402,0.02478431,2.4,-5.26014,0.99,"cyclin A2"
"162","CCNB1","228729_at",1.85e-38,1.12e-40,17.8,81.9580554,3.17,"cyclin B1","214710_s_at",0.264,0.00632632,3,-3.97661,1.3,"cyclin B1"
"163","CCNB2","202705_at",2.89e-36,2.21e-38,17,76.7003221,2.48,"cyclin B2","202705_at",0.255,0.0050033,3.1,-3.75179,1.05,"cyclin B2"
"164","CCNE1","213523_at",1.03e-43,3.4e-46,19.9,94.5930196,2.54,"cyclin E1","213523_at",0.255,0.00511641,3.09,-3.77326,0.798,"cyclin E1"
"165","CCNE2","205034_at",3.32e-18,1.96e-19,10.2,33.310412,1.45,"cyclin E2","205034_at",0.245,0.00407846,3.18,-3.55515,1.15,"cyclin E2"
"166","CCR5","206991_s_at",1.87e-14,1.68e-15,8.79,24.3375044,0.77,"C-C motif chemokine receptor 5 (gene/pseudogene)","206991_s_at",0.135,0.00018691,4.43,-0.52532,1.09,"C-C motif chemokine receptor 5 (gene/pseudogene)"
"167","CD1B","206749_at",3.83e-06,8.97e-07,5.1,4.601537,1.38,"CD1b molecule","206749_at",0.402,0.02494984,2.4,-5.26627,1.28,"CD1b molecule"
"168","CD2","205831_at",1.34e-19,6.83e-21,10.8,36.6440156,2.23,"CD2 molecule","205831_at",0.222,0.00252007,3.38,-3.08928,1.48,"CD2 molecule"
"169","CD209","207277_at",0.0284,0.0119,2.54,-4.3583503,0.685,"CD209 molecule","207277_at",0.497,0.0469033,2.1,-5.83946,1.14,"CD209 molecule"
"170","CD274","227458_at",3.45e-59,1.39e-62,26.8,132.041535,5.48,"CD274 molecule","227458_at",0.28,0.00806663,2.9,-4.20835,1.5,"CD274 molecule"
"171","CD28","206545_at",1.9e-14,1.7e-15,8.79,24.3234676,1.62,"CD28 molecule","206545_at",0.307,0.01116015,2.76,-4.5159,0.995,"CD28 molecule"
"172","CD300LG","1552509_a_at",2.52e-09,4.06e-10,-6.64,12.1163447,-1.06,"CD300 molecule like family member g","1552509_a_at",0.391,0.02287569,-2.44,-5.18626,-1.4,"CD300 molecule like family member g"
"173","CD34","209543_s_at",1.66e-16,1.2e-17,-9.59,29.2319654,-1.44,"CD34 molecule","209543_s_at",0.479,0.04206678,-2.15,-5.74184,-0.614,"CD34 molecule"
"174","CD36","206488_s_at",2.53e-16,1.86e-17,9.52,28.7981144,1.22,"CD36 molecule","228766_at",0.483,0.04319291,-2.14,-5.76559,-0.966,"CD36 molecule"
"175","CD3D","213539_at",7.45e-22,2.94e-23,11.6,42.0577166,2.71,"CD3d molecule","213539_at",0.298,0.01021257,2.79,-4.43208,0.915,"CD3d molecule"
"176","CD47","211075_s_at",6.41e-46,1.58e-48,20.8,99.9304614,1.57,"CD47 molecule","211075_s_at",0.349,0.01635437,2.59,-4.87465,1.05,"CD47 molecule"
"177","CD48","204118_at",4.2e-09,6.94e-10,6.54,11.5888189,1.61,"CD48 molecule","204118_at",0.391,0.02283456,2.44,-5.1846,0.85,"CD48 molecule"
"178","CD53","203416_at",8.25e-13,8.91e-14,8.13,20.4115407,1.07,"CD53 molecule","203416_at",0.283,0.00836362,2.88,-4.24272,1.15,"CD53 molecule"
"179","CD69","209795_at",1.91e-06,4.32e-07,5.26,5.3103596,0.799,"CD69 molecule","209795_at",0.343,0.01529521,2.62,-4.81208,1.04,"CD69 molecule"
"180","CD84","230391_at",0.00064,0.000201,3.8,-0.5881288,0.792,"CD84 molecule","244352_at",0.33,0.01374821,2.66,-4.71217,0.717,"CD84 molecule"
"181","CD96","206761_at",3.48e-13,3.62e-14,8.28,21.3013469,1.17,"CD96 molecule","206761_at",0.314,0.01191048,2.73,-4.57726,0.643,"CD96 molecule"
"182","CDC20","202870_s_at",1.43e-26,3.37e-28,13.3,53.3669684,1.41,"cell division cycle 20","202870_s_at",0.252,0.00469163,3.13,-3.68999,1.2,"cell division cycle 20"
"183","CDC25A","204695_at",1.29e-26,3.02e-28,13.4,53.4754963,1.77,"cell division cycle 25A","204695_at",0.248,0.00434516,3.16,-3.61617,0.642,"cell division cycle 25A"
"184","CDC25B","201853_s_at",5.78e-26,1.44e-27,13.1,51.922429,0.985,"cell division cycle 25B","201853_s_at",0.121,5.437e-05,4.92,0.71032,0.898,"cell division cycle 25B"
"185","CDC45","204126_s_at",3e-27,6.5e-29,13.6,55.0047017,1.5,"cell division cycle 45","204126_s_at",0.236,0.003299,3.27,-3.35035,0.87,"cell division cycle 45"
"186","CDC6","203967_at",1.78e-20,8.24e-22,11.1,38.7442956,1.22,"cell division cycle 6","203968_s_at",0.264,0.00632183,3,-3.97593,1.18,"cell division cycle 6"
"187","CDCA2","226661_at",1.78e-33,1.86e-35,15.9,69.9975067,2.85,"cell division cycle associated 2","226661_at",0.196,0.00128654,3.66,-2.4333,1.28,"cell division cycle associated 2"
"188","CDCA3","223307_at",7.1e-28,1.42e-29,13.8,56.5155001,2.37,"cell division cycle associated 3","221436_s_at",0.353,0.01672272,2.58,-4.89544,0.968,"cell division cycle associated 3"
"189","CDCA5","224753_at",1.32e-34,1.21e-36,16.4,72.7188473,3.22,"cell division cycle associated 5","224753_at",0.213,0.0022143,3.44,-2.96353,0.956,"cell division cycle associated 5"
"190","CDCA8","221520_s_at",4.82e-29,8.41e-31,14.3,59.330467,2.22,"cell division cycle associated 8","221520_s_at",0.293,0.00948742,2.83,-4.36235,0.788,"cell division cycle associated 8"
"191","CDCP1","218451_at",1.2e-14,1.05e-15,8.87,24.8032187,0.815,"CUB domain containing protein 1","218451_at",0.372,0.01963887,2.51,-5.04503,0.711,"CUB domain containing protein 1"
"192","CDH11","236179_at",1.52e-07,3e-08,-5.81,7.9032189,-1.52,"cadherin 11","236179_at",0.429,0.03014762,-2.31,-5.43978,-0.99,"cadherin 11"
"193","CDH19","206898_at",2.8e-26,6.81e-28,-13.2,52.667926,-2.61,"cadherin 19","206898_at",0.408,0.02628558,-2.37,-5.31422,-1.08,"cadherin 19"
"194","CDH3","203256_at",4.31e-24,1.33e-25,12.4,47.4204116,1.48,"cadherin 3","203256_at",0.189,0.00107012,3.73,-2.25265,1.25,"cadherin 3"
"195","CDK1","210559_s_at",1.67e-41,6.67e-44,19.1,89.3433774,3.55,"cyclin dependent kinase 1","203214_x_at",0.348,0.01617145,2.59,-4.86415,1.42,"cyclin dependent kinase 1"
"196","CDK5R1","204995_at",1.43e-43,4.77e-46,19.9,94.2562936,2.2,"cyclin dependent kinase 5 regulatory subunit 1","204995_at",0.229,0.00285587,3.33,-3.21066,1.14,"cyclin dependent kinase 5 regulatory subunit 1"
"197","CDKN1C","213348_at",1.61e-14,1.42e-15,-8.82,24.5011212,-0.956,"cyclin dependent kinase inhibitor 1C","216894_x_at",0.242,0.0037293,-3.22,-3.46882,-0.79,"cyclin dependent kinase inhibitor 1C"
"198","CDKN3","1555758_a_at",3.21e-33,3.42e-35,15.8,69.3911317,3.34,"cyclin dependent kinase inhibitor 3","1555758_a_at",0.318,0.01235728,2.71,-4.61193,1.62,"cyclin dependent kinase inhibitor 3"
"199","CDO1","204154_at",2.68e-15,2.2e-16,-9.12,26.3523049,-1.76,"cysteine dioxygenase type 1","204154_at",0.488,0.04455806,-2.12,-5.79352,-1.19,"cysteine dioxygenase type 1"
"200","CDT1","228868_x_at",5.15e-22,1.98e-23,11.7,42.4468608,2.28,"chromatin licensing and DNA replication factor 1","228868_x_at",0.275,0.00756075,2.92,-4.14671,0.677,"chromatin licensing and DNA replication factor 1"
"201","CEMIP","212942_s_at",1.74e-30,2.52e-32,14.8,62.8211213,2.19,"cell migration inducing hyaluronan binding protein","212942_s_at",0.351,0.01650912,2.58,-4.88345,1.46,"cell migration inducing hyaluronan binding protein"
"202","CENPE","205046_at",7.11e-40,3.53e-42,18.4,85.397299,3.77,"centromere protein E","205046_at",0.204,0.00167431,3.55,-2.69102,1.62,"centromere protein E"
"203","CENPF","207828_s_at",4.76e-30,7.25e-32,14.6,61.7693775,2.19,"centromere protein F","207828_s_at",0.199,0.00140433,3.62,-2.5191,1.21,"centromere protein F"
"204","CENPI","214804_at",8.04e-10,1.23e-10,6.86,13.2901437,1.04,"centromere protein I","214804_at",0.416,0.02767588,2.35,-5.36151,0.788,"centromere protein I"
"205","CENPN","228559_at",1.74e-22,6.36e-24,11.8,43.5782638,2.57,"centromere protein N","222118_at",0.385,0.02185279,2.46,-5.14399,0.917,"centromere protein N"
"206","CENPW","226936_at",4.6e-30,6.99e-32,14.7,61.8047967,1.55,"centromere protein W","226936_at",0.421,0.02856736,2.33,-5.39055,0.69,"centromere protein W"
"207","CEP126","236325_at",2.44e-09,3.93e-10,-6.65,12.1480539,-0.906,"centrosomal protein 126","235956_at",0.473,0.04096329,-2.16,-5.71792,-0.626,"centrosomal protein 126"
"208","CEP135","207286_at",3.73e-14,3.46e-15,-8.67,23.6232089,-1.23,"centrosomal protein 135","207286_at",0.304,0.01073835,2.77,-4.47953,0.946,"centrosomal protein 135"
"209","CEP55","218542_at",4.49e-31,6.08e-33,15,64.2352355,1.97,"centrosomal protein 55","218542_at",0.201,0.00145517,3.61,-2.55389,1.41,"centrosomal protein 55"
"210","CFB","202357_s_at",1.46e-31,1.86e-33,15.2,65.4163795,1.88,"complement factor B","202357_s_at",0.449,0.03518966,2.24,-5.58057,0.806,"complement factor B"
"211","CH25H","206932_at",3.8e-22,1.45e-23,11.7,42.7616598,2.17,"cholesterol 25-hydroxylase","206932_at",0.279,0.00792109,2.9,-4.19103,1.64,"cholesterol 25-hydroxylase"
"212","CHEK1","205393_s_at",3.12e-41,1.3e-43,18.9,88.6822826,2.78,"checkpoint kinase 1","205394_at",0.292,0.00931041,2.83,-4.3445,1.39,"checkpoint kinase 1"
"213","CHN1","212624_s_at",2.24e-05,5.76e-06,4.68,2.806444,0.714,"chimerin 1","212624_s_at",0.347,0.01586616,2.6,-4.84635,0.606,"chimerin 1"
"214","CHPT1","221675_s_at",6.13e-34,5.98e-36,-16.1,71.1261803,-1.22,"choline phosphotransferase 1","230364_at",0.248,0.00443069,-3.15,-3.63494,-0.588,"choline phosphotransferase 1"
"215","CIDEA","221295_at",7.32e-06,1.77e-06,-4.95,3.9415905,-1.37,"cell death-inducing DFFA-like effector a","221295_at",0.211,0.00200813,-3.48,-2.86837,-2.75,"cell death-inducing DFFA-like effector a"
"216","CIDEC","219398_at",1.33e-08,2.33e-09,-6.31,10.403819,-1.92,"cell death inducing DFFA like effector c","219398_at",0.388,0.02239349,-2.45,-5.16659,-2.07,"cell death inducing DFFA like effector c"
"217","CKMT2","205295_at",8.38e-12,1.01e-12,-7.71,18.0138106,-1.15,"creatine kinase, mitochondrial 2","205295_at",0.325,0.01321037,-2.68,-4.6747,-0.87,"creatine kinase, mitochondrial 2"
"218","CKS2","204170_s_at",4.49e-28,8.74e-30,13.9,57.0005716,1.54,"CDC28 protein kinase regulatory subunit 2","204170_s_at",0.367,0.01886695,2.52,-5.00779,0.818,"CDC28 protein kinase regulatory subunit 2"
"219","CLDN23","228707_at",8.34e-26,2.11e-27,-13.1,51.5422282,-1.71,"claudin 23","228707_at",0.422,0.02872416,-2.33,-5.39556,-0.862,"claudin 23"
"220","CLDN8","214598_at",4.53e-36,3.55e-38,-16.9,76.2275526,-2.91,"claudin 8","214598_at",0.316,0.01211175,-2.72,-4.59304,-1.77,"claudin 8"
"221","CLEC7A","1555756_a_at",1.47e-51,1.64e-54,23.3,113.6134111,4.87,"C-type lectin domain family 7 member A","1555756_a_at",0.236,0.00324531,3.28,-3.33447,2.79,"C-type lectin domain family 7 member A"
"222","CLIC5","213317_at",7.85e-17,5.47e-18,-9.71,30.0107535,-1.75,"chloride intracellular channel 5","213317_at",0.154,0.0004706,-4.06,-1.44265,-1.36,"chloride intracellular channel 5"
"223","CLMN","213839_at",6.14e-13,6.54e-14,-8.18,20.7175774,-1.05,"calmin","213839_at",0.503,0.04909211,-2.08,-5.88021,-0.615,"calmin"
"224","CLMP","228082_at",2.93e-14,2.69e-15,-8.71,23.8711704,-1.41,"CXADR like membrane protein","228082_at",0.165,0.00063415,-3.94,-1.73749,-1.67,"CXADR like membrane protein"
"225","CLSTN2","219414_at",1.88e-11,2.36e-12,-7.57,17.1772574,-0.993,"calsyntenin 2","229580_at",0.292,0.00922322,-2.84,-4.33558,-1.66,"calsyntenin 2"
"226","CMBL","227522_at",1.66e-16,1.19e-17,-9.59,29.2366995,-1.57,"carboxymethylenebutenolidase homolog","227522_at",0.31,0.01145673,-2.74,-4.54064,-0.801,"carboxymethylenebutenolidase homolog"
"227","CMPK2","226702_at",4.11e-33,4.41e-35,15.8,69.1385806,2.81,"cytidine/uridine monophosphate kinase 2","226702_at",0.46,0.03789033,2.2,-5.64754,1.06,"cytidine/uridine monophosphate kinase 2"
"228","CMYA5","237981_at",1.32e-13,1.31e-14,-8.45,22.3055165,-1.27,"cardiomyopathy associated 5","233520_s_at",0.394,0.02324154,-2.43,-5.20091,-0.924,"cardiomyopathy associated 5"
"229","CNGA1","206417_at",9.42e-16,7.37e-17,-9.3,27.4328726,-1.04,"cyclic nucleotide gated channel alpha 1","206417_at",0.266,0.0067664,-2.97,-4.04086,-0.849,"cyclic nucleotide gated channel alpha 1"
"230","CNKSR2","229116_at",9.35e-22,3.73e-23,-11.6,41.8189549,-2.15,"connector enhancer of kinase suppressor of Ras 2","229116_at",0.296,0.0100204,-2.8,-4.4141,-1.39,"connector enhancer of kinase suppressor of Ras 2"
"231","CNTN4","229084_at",8.29e-10,1.27e-10,-6.86,13.258212,-1.4,"contactin 4","229084_at",0.213,0.00223907,-3.43,-2.97436,-1.16,"contactin 4"
"232","COBL","1552496_a_at",2.05e-10,2.92e-11,-7.12,14.7026581,-1.12,"cordon-bleu WH2 repeat protein","213050_at",0.401,0.02447342,-2.4,-5.24852,-0.702,"cordon-bleu WH2 repeat protein"
"233","COBLL1","203641_s_at",3.59e-10,5.27e-11,7.02,14.1199927,1.14,"cordon-bleu WH2 repeat protein like 1","229598_at",0.216,0.00233094,-3.42,-3.01346,-0.921,"cordon-bleu WH2 repeat protein like 1"
"234","COL4A4","229779_at",5.5e-07,1.16e-07,5.54,6.5848378,1.76,"collagen type IV alpha 4 chain","229779_at",0.347,0.01603527,2.6,-4.85625,1.95,"collagen type IV alpha 4 chain"
"235","COL6A6","230867_at",0.0107,0.00412,2.91,-3.3981402,1.04,"collagen type VI alpha 6 chain","230867_at",0.347,0.01606499,2.6,-4.85798,2.31,"collagen type VI alpha 6 chain"
"236","COPG2IT1","213486_at",6.34e-13,6.77e-14,-8.18,20.6831959,-1.97,"COPG2 imprinted transcript 1 (non-protein coding)","213486_at",0.406,0.02577776,-2.38,-5.29629,-1.17,"COPG2 imprinted transcript 1 (non-protein coding)"
"237","COQ8A","218168_s_at",1.27e-29,2.03e-31,-14.5,60.7422322,-1.01,"coenzyme Q8A","218168_s_at",0.235,0.00306347,-3.3,-3.27865,-0.597,"coenzyme Q8A"
"238","CORO1A","209083_at",1.86e-08,3.31e-09,6.25,10.0576338,0.992,"coronin 1A","209083_at",0.211,0.00193039,3.49,-2.82989,1.28,"coronin 1A"
"239","CORO2B","209789_at",5.31e-27,1.19e-28,-13.5,54.4015992,-1.73,"coronin 2B","209789_at",0.281,0.00813736,-2.89,-4.21665,-0.642,"coronin 2B"
"240","COTL1","1556346_at",8.77e-11,1.2e-11,7.28,15.5793187,0.924,"coactosin like F-actin binding protein 1","224583_at",0.293,0.00952915,2.82,-4.36651,1.17,"coactosin like F-actin binding protein 1"
"241","COX7A1","204570_at",7.1e-21,3.14e-22,-11.2,39.7021367,-1.42,"cytochrome c oxidase subunit 7A1","204570_at",0.377,0.02047086,-2.49,-5.08351,-0.744,"cytochrome c oxidase subunit 7A1"
