"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD"
"926","ROPN1","224191_x_at",1.42e-22,5.12e-24,-11.9,43.7931609,-2.6,"rhophilin associated tail protein 1","224191_x_at",0.329,0.01364738,-2.67,-4.70526,-1.34,"rhophilin associated tail protein 1"
"927","ROPN1B","220425_x_at",3.9e-25,1.07e-26,-12.8,49.9250424,-2.8,"rhophilin associated tail protein 1B","220425_x_at",0.477,0.04177482,-2.15,-5.73558,-1.32,"rhophilin associated tail protein 1B"
"928","RORC","228806_at",2.68e-49,4.06e-52,-22.3,108.1427674,-1.92,"RAR related orphan receptor C","228806_at",0.254,0.00483543,-3.11,-3.71901,-1.34,"RAR related orphan receptor C"
"929","RPL31","200962_at",3.74e-12,4.35e-13,-7.86,18.8462594,-1.56,"ribosomal protein L31","200962_at",0.294,0.009872,-2.81,-4.39998,-0.808,"ribosomal protein L31"
"930","RPS6KA4","204632_at",2.67e-25,7.14e-27,12.9,50.3304377,1.2,"ribosomal protein S6 kinase A4","204632_at",0.135,0.00021284,4.38,-0.65473,1.01,"ribosomal protein S6 kinase A4"
"931","RPS6KA6","228503_at",7.92e-06,1.93e-06,-4.93,3.8615868,-0.613,"ribosomal protein S6 kinase A6","228503_at",0.243,0.00390054,-3.2,-3.51214,-0.659,"ribosomal protein S6 kinase A6"
"932","RPS6KB2","203777_s_at",4.42e-20,2.14e-21,10.9,37.7944926,0.835,"ribosomal protein S6 kinase B2","203777_s_at",0.409,0.02641022,2.37,-5.31856,0.59,"ribosomal protein S6 kinase B2"
"933","RRAGD","221523_s_at",2.17e-11,2.76e-12,-7.54,17.0261858,-1.03,"Ras related GTP binding D","221523_s_at",0.231,0.00294113,-3.32,-3.23918,-0.683,"Ras related GTP binding D"
"934","RRM2","209773_s_at",5.31e-46,1.28e-48,20.9,100.1384917,4.99,"ribonucleotide reductase regulatory subunit M2","209773_s_at",0.311,0.01155497,2.74,-4.5487,2.3,"ribonucleotide reductase regulatory subunit M2"
"935","RSAD2","213797_at",1.82e-39,9.56e-42,18.2,84.405198,5.42,"radical S-adenosyl methionine domain containing 2","242625_at",0.503,0.0490393,2.08,-5.87925,1.13,"radical S-adenosyl methionine domain containing 2"
"936","RTP4","219684_at",2.26e-44,6.86e-47,20.2,96.1838264,4.1,"receptor transporter protein 4","219684_at",0.398,0.02392341,2.42,-5.22758,1.65,"receptor transporter protein 4"
